x_over_L,ux,ux_block_sd,ux_naive_block_se,uy,uy_block_sd,uy_naive_block_se,T,T_block_sd,T_naive_block_se
-0.4975,-5.44102435629001e-06,2.2312144536755796e-05,5.963171458622869e-06,0.0002798814693753534,4.530494674885609e-05,1.2108256332875532e-05,0.36214470184762965,5.206131803250981e-05,1.3913972512966266e-05
-0.4925,-3.0307115543514545e-06,3.012974543936561e-05,8.052513184630059e-06,0.00029797674205075215,4.4321638229723186e-05,1.1845456076869006e-05,0.36435237640868245,4.3518034980150096e-05,1.1630684074383242e-05
-0.4875,-1.0582400939773188e-05,3.3338214357612306e-05,8.910012572358081e-06,0.0002854068735981132,4.499475487623365e-05,1.2025354067767317e-05,0.3665765922391764,5.270351268504911e-05,1.4085606253353439e-05
-0.4825,-1.6528925328771975e-05,3.877870358304782e-05,1.0364044479359141e-05,0.0002735599911028612,3.231680544228559e-05,8.637029557147442e-06,0.3687588230247321,5.167216761640155e-05,1.3809967689466436e-05
-0.4775,-3.187330419924319e-05,4.2979386067683935e-05,1.1486724097082758e-05,0.0002783440992750377,3.867521033992478e-05,1.0336384746672532e-05,0.37094430125282274,6.236067726615343e-05,1.6666592052652055e-05
-0.4725,-3.281098532967852e-05,5.033218183074242e-05,1.345184142424618e-05,0.0002706677078836939,3.799990347336102e-05,1.0155901394842716e-05,0.3731241817310905,6.684557286498229e-05,1.7865230820242625e-05
-0.4675,-3.5689558882492053e-05,4.716285008314462e-05,1.2604801885350716e-05,0.0002678791629111634,3.774751209464554e-05,1.0088446961519227e-05,0.3752931375456876,5.707938078593978e-05,1.5255106196442442e-05
-0.4625,-3.683562582586246e-05,4.744903958411212e-05,1.2681289246801589e-05,0.00026168919274387713,4.6941306122693265e-05,1.2545591771342292e-05,0.3774507438175816,5.21375369617095e-05,1.393434287864141e-05
-0.4575,-3.7687137758856806e-05,5.118855364155949e-05,1.3680716417943944e-05,0.00025967405633891183,3.5162393726520055e-05,9.397545015963392e-06,0.37961063803922207,4.617037194063389e-05,1.2339550944412364e-05
-0.4525,-4.024367337676579e-05,4.733331122061454e-05,1.2650359540648734e-05,0.00024841265689979584,3.603670498646538e-05,9.631214529114396e-06,0.3817878327925938,5.9496298376187155e-05,1.590105459321194e-05
