x_over_L,ux,ux_block_sd,ux_naive_block_se,uy,uy_block_sd,uy_naive_block_se,T,T_block_sd,T_naive_block_se
-0.4975,-7.950522620775097e-07,2.003501754729241e-05,5.3545836714265845e-06,0.00017809370557439388,3.3210149223712165e-05,8.87578572562625e-06,0.3613696676717752,4.52372210524343e-05,1.209015587914046e-05
-0.4925,-7.670270795553529e-06,3.7724148891567214e-05,1.0082202882849463e-05,0.00017625596735908763,3.897734115098297e-05,1.0417132602455955e-05,0.36355657172978006,4.9117216063961316e-05,1.3127128164535183e-05
-0.4875,-1.9167406994209786e-05,3.715588933315828e-05,9.930329127540483e-06,0.00018647578381727312,4.134847721663456e-05,1.1050845372105339e-05,0.3657325375387167,4.5185909321296214e-05,1.207644224215182e-05
-0.4825,-2.2026100151995975e-05,4.083419583751895e-05,1.0913397892030464e-05,0.00016038840274356113,3.770896092089958e-05,1.00781437269467e-05,0.367912262463408,6.124233724757346e-05,1.636770311040601e-05
-0.4775,-1.789699131009735e-05,4.945693224656027e-05,1.3217921133394328e-05,0.00015774535641798463,3.442056989274112e-05,9.199284256867396e-06,0.37005833231549945,6.010349511730855e-05,1.606333474832922e-05
-0.4725,-1.9210129790598795e-05,5.020846445527314e-05,1.3418776564832115e-05,0.00017523570597851093,3.589986803504039e-05,9.594643315537041e-06,0.3722011875741629,5.533778774015545e-05,1.478964587612008e-05
-0.4675,-2.4007732136364713e-05,3.8247567250591214e-05,1.0222092323521977e-05,0.00015374864073742904,4.609911726543188e-05,1.2320507331425809e-05,0.37436197197701726,4.720147022592317e-05,1.2615123552672549e-05
-0.4625,-2.9725214686926268e-05,3.75945453967426e-05,1.0047564891866445e-05,0.00015697977537277734,5.0255340710334145e-05,1.3431304770975923e-05,0.37648785622125325,3.9399900376323e-05,1.0530066305801882e-05
-0.4575,-3.288387356046685e-05,3.887433588323948e-05,1.0389603286675307e-05,0.00015271807084877263,4.18426570078754e-05,1.1182920476840387e-05,0.3786273817504088,5.957404189016397e-05,1.5921832421308016e-05
-0.4525,-3.67618466846262e-05,4.40509350334181e-05,1.1773107604434846e-05,0.00013326821350006179,3.25197026173533e-05,8.69125610813656e-06,0.38076756893481756,5.3281480909546865e-05,1.4240074758818625e-05
