x_over_L,ux,ux_block_sd,ux_naive_block_se,uy,uy_block_sd,uy_naive_block_se,T,T_block_sd,T_naive_block_se
-0.4975,-7.2259686908305815e-06,3.835842396024012e-05,1.025172002541707e-05,0.0003154076958061992,4.1540244994630566e-05,1.1102097466611337e-05,0.6418865851547978,7.275129796955492e-05,1.944360224608409e-05
-0.4925,-5.384308555915429e-06,5.015734555022539e-05,1.340511446278385e-05,0.00031384144766887715,4.0075764566640656e-05,1.0710698608670314e-05,0.6436833713128516,6.29816130004506e-05,1.683254410814812e-05
-0.4875,-2.43946669830197e-06,5.524253183654801e-05,1.4764187665022465e-05,0.00030452919185058685,5.4246858053822536e-05,1.4498082653311611e-05,0.6454655514334683,6.039900545323025e-05,1.614231320770561e-05
-0.4825,-9.859790911563437e-06,4.411573642984428e-05,1.1790426506121365e-05,0.0003077790065660603,4.3144934737274364e-05,1.1530968840114448e-05,0.6472337606142697,5.690641539924614e-05,1.5208879252386835e-05
-0.4775,-1.7786887409400624e-05,4.310949867382963e-05,1.1521498153789719e-05,0.0002978967853969641,4.968571691472384e-05,1.3279066407938243e-05,0.648959426904269,6.816554711959404e-05,1.8218008778822586e-05
-0.4725,-1.8819642016140792e-05,6.467301747258807e-05,1.7284590967947808e-05,0.00029531187129136624,5.917461244415156e-05,1.5815080411510346e-05,0.6507075602966759,7.944469095633912e-05,2.1232486768339946e-05
-0.4675,-2.8548470169200548e-05,6.257019365260103e-05,1.672258766229504e-05,0.00028181466332277786,4.281530425782067e-05,1.1442871388803463e-05,0.6524019818826368,6.620836066076742e-05,1.7694928695182405e-05
-0.4625,-4.005628271553856e-05,6.296898954888138e-05,1.682917034880451e-05,0.0002828421554895766,5.689997962639282e-05,1.520715921974139e-05,0.6541053561235011,6.935237875256619e-05,1.8535202874991672e-05
-0.4575,-6.059433609365213e-05,5.809217295123328e-05,1.5525786288337955e-05,0.00026996618972295757,4.3106132924919434e-05,1.1520598619556014e-05,0.6558115565331903,5.1876560681141864e-05,1.3864594033787219e-05
-0.4525,-6.705618860941022e-05,5.70306331230912e-05,1.5242077835529201e-05,0.0002308546972937086,3.905640236091023e-05,1.043826259960821e-05,0.6575189988420023,7.042754619602383e-05,1.882255346119397e-05
-0.4475,-7.251987718330967e-05,5.4955265467174466e-05,1.4687412498384019e-05,0.00022502788884796543,4.4258868059224106e-05,1.1828680043146367e-05,0.6591888147340749,7.416974091575929e-05,1.982269706946858e-05
-0.4425,-8.253293912226237e-05,5.639378289466311e-05,1.5071872452567299e-05,0.00022814362446108848,4.331722385001938e-05,1.1577015042354668e-05,0.6608540072696009,7.423992379729214e-05,1.9841454233548048e-05
-0.4375,-7.107728235964888e-05,5.143210161703728e-05,1.3745807352335393e-05,0.00023130956784869826,5.614312125634688e-05,1.5004880311811101e-05,0.6624666477624908,7.109841154969732e-05,1.9001849768772763e-05
-0.4325,-8.142424378034748e-05,6.774138310727057e-05,1.810464617811446e-05,0.0002082547140234279,5.0689072880974735e-05,1.35472245695587e-05,0.6641467689241076,6.889934177606546e-05,1.841412365001984e-05
